Sample ID,Sex,Fin ray age
HL1136,Female,1
HL1797,Female,2
HL1826,Female,2
HL0372,Male,2
HL1913,Male,2
HL2008,Male,2
HL1828,Male,2
HL1977,Male,2
HL2047,Male,2
HL1693,Male,2
HL1087,Female,3
HL0363,Female,3
HL1358,Female,3
HL1867,Female,3
HL1405,Female,3
HL2095,Female,3
HL1001,Female,3
HL1403,Female,3
HL1511,Female,3
HL0333,Female,3
HL1522,Female,3
HL1671,Female,3
HL1478,Female,3
HL1083,Male,3
HL0979,Male,3
HL2025,Male,3
HL2019,Male,3
HL1385,Male,3
HL1990,Male,3
HL1061,Male,3
HL1292,Male,3
HL0876,Male,3
HL1507,Male,3
HL1065,Male,3
HL1113,Male,3
HL1308,Male,3
HL1138,Female,4
HL1053,Female,4
HL1133,Female,4
HL0339,Female,4
HL1043,Female,4
HL1055,Female,4
HL0811,Female,4
HL1892,Female,4
HL1347,Female,4
HL1473,Female,4
HL1649,Female,4
HL1447,Female,4
HL1596,Female,4
HL1504,Female,4
HL1176,Male,4
HL1115,Male,4
HL1947,Male,4
HL1807,Male,4
HL0959,Male,4
HL1057,Male,4
HL1771,Male,4
HL0394,Male,4
HL1298,Female,5
HL1050,Female,5
HL2031,Female,5
HL1942,Female,5
HL0937,Female,5
HL0344,Female,5
HL1681,Female,5
HL1744,Female,5
HL0212,Female,5
HL1680,Female,5
HL0338,Male,5
HL0342,Male,5
HL1110,Male,5
HL0367,Male,5
HL1075,Male,5
HL1801,Male,5
HL1931,Male,5
HL2024,Male,5
HL2052,Male,5
HL0824,Male,5
HL0196,Male,5
HL1762,Male,5
HL1705,Male,5
HL1773,Male,5
HL2022,Female,6
HL1937,Female,6
HL1809,Female,6
HL0891,Female,6
HL2056,Female,6
HL1764,Female,6
HL0043,Female,6
HL0053,Female,6
HL1694,Female,6
HL1678,Female,6
HL1430,Male,6
HL1273,Male,6
HL1700,Male,6
HL2002,Male,6
HL1984,Male,6
HL1932,Male,6
HL1900,Male,6
HL2006,Male,6
HL1668,Male,6
HL1777,Male,6
HL1765,Male,6
HL1663,Male,6
HL0785,Female,7
HL0348,Female,7
HL1124,Female,7
HL0870,Female,7
HL1150,Female,7
HL0949,Female,7
HL1940,Female,7
HL0770,Female,7
HL0871,Female,7
HL0360,Female,7
HL1446,Female,7
HL1748,Female,7
HL1592,Female,7
HL1593,Female,7
HL1754,Female,7
HL1465,Male,7
HL1443,Male,7
HL1979,Male,7
HL2076,Male,7
HL0964,Male,7
HL0619,Male,7
HL1843,Male,7
HL1776,Male,7
HL0205,Male,7
HL1761,Male,7
HL1735,Male,7
HL1340,Female,8
HL0970,Female,8
HL1103,Female,8
HL0591,Female,8
HL0835,Female,8
HL0952,Female,8
HL2128,Female,8
HL1734,Female,8
HL1397,Female,8
HL1699,Female,8
HL1739,Female,8
HL1371,Female,8
HL0923,Male,8
HL1811,Male,8
HL1091,Male,8
HL2120,Male,8
HL1387,Male,8
HL1662,Male,8
HL1740,Male,8
HL0328,Female,9
HL0865,Female,9
HL2089,Female,9
HL0586,Female,9
HL2106,Female,9
HL0951,Female,9
HL1653,Female,9
HL2127,Male,9
HL1851,Male,9
HL2069,Male,9
HL0978,Male,9
HL1989,Male,9
HL2092,Female,10
HL1935,Female,10
HL1961,Female,10
HL2117,Female,10
HL2061,Female,10
HL1747,Female,10
HL1968,Male,10
HL2101,Male,10
HL2012,Male,10
HL1978,Male,10
HL1906,Male,10
HL0971,Female,11
HL0935,Female,11
HL1914,Female,11
HL2109,Female,11
HL0598,Female,11
HL2122,Female,11
HL1973,Male,11
HL2063,Male,11
HL1093,Female,12
HL2100,Female,12
HL1927,Female,12
HL1884,Female,12
HL0881,Female,12
HL1944,Male,12
HL1339,Male,12
HL1881,Male,12
HL0218,Male,12
HL0635,Female,13
HL1835,Male,13
HL2035,Male,13
HL2075,Female,14
HL2068,Male,14
HL0928,Female,15
HL1969,Female,15
HL2094,Female,15
HL0893,Female,15
HL1967,Female,16
HL2057,Female,16
HL2086,Female,17
HL2125,Male,17