Sample ID,Sex,Otolith age
HL1136,Female,1
HL0372,Male,4
HL1308,Male,3
HL1693,Male,4
HL0363,Female,4
HL0333,Female,5
HL1358,Female,5
HL1133,Female,4
HL1176,Male,4
HL1671,Female,5
HL1473,Female,5
HL1504,Female,5
HL1292,Male,6
HL1478,Female,6
HL1507,Male,6
HL1511,Female,6
HL0339,Female,6
HL1447,Female,6
HL1138,Female,7
HL0367,Male,7
HL1681,Female,7
HL0342,Male,8
HL1347,Female,6
HL1298,Female,6
HL1680,Female,6
HL0360,Female,6
HL1678,Female,6
HL0394,Male,7
HL1649,Female,7
HL1771,Male,7
HL0344,Female,7
HL1700,Male,7
HL1705,Male,8
HL1773,Male,8
HL0196,Male,9
HL1593,Female,9
HL0212,Female,10
HL1765,Male,12
HL0338,Male,6
HL1694,Female,7
HL1150,Female,7
HL1762,Male,8
HL1446,Female,8
HL1430,Male,9
HL0348,Female,9
HL1761,Male,9
HL1739,Female,11
HL1668,Male,12
HL1734,Female,13
HL1273,Male,8
HL1777,Male,8
HL1592,Female,8
HL1662,Male,8
HL1735,Male,8
HL1371,Female,8
HL1663,Male,9
HL1776,Male,9
HL0205,Male,10
HL1699,Female,10
HL1754,Female,11
HL1740,Male,11
HL1443,Male,12
HL0328,Female,12
HL1340,Female,9
HL1653,Female,10
HL1747,Female,13
HL0218,Male,16
HL1339,Male,12